"Notes","County","County Code",Births,Total Population,Birth Rate,Female Population,Fertility Rate,Average Birth Weight,Standard Deviation for Average Birth Weight,Average Age of Mother,Standard Deviation for Average Age of Mother,Average LMP Gestational Age,Standard Deviation for Average LMP Gestational Age,Average OE Gestational Age,Standard Deviation for Average OE Gestational Age
,"Franklin County, OH","39049",18886,1291981,14.62,291521,64.78,3235.07,614.08,29.10,5.62,38.53,2.65,38.42,2.33
,"Greene County, OH","39057",1744,166752,10.46,33177,52.57,3366.99,603.94,28.72,5.39,38.72,2.47,38.51,2.03
,"Hamilton County, OH","39061",10833,813822,13.31,163980,66.06,3222.69,620.32,28.79,5.60,38.50,2.74,38.35,2.30
,"Lake County, OH","39085",2198,230117,9.55,39345,55.86,3302.84,574.70,29.37,5.49,38.75,2.34,38.50,1.97
,"Licking County, OH","39089",1866,173448,10.76,31961,58.38,3307.93,589.76,27.98,5.49,38.55,2.44,38.48,2.03
,"Lorain County, OH","39093",3183,307924,10.34,54516,58.39,3255.03,585.91,27.99,5.68,38.59,2.57,38.43,2.05
,"Lucas County, OH","39095",5445,430887,12.64,83755,65.01,3212.95,615.60,27.49,5.58,38.42,2.62,38.30,2.25
,"Mahoning County, OH","39099",2458,229796,10.70,39316,62.52,3184.41,614.35,27.61,5.64,38.34,2.57,38.13,2.32
,"Medina County, OH","39103",1720,178371,9.64,31038,55.42,3362.67,565.89,29.90,5.13,38.79,2.29,38.64,1.93
,"Miami County, OH","39109",1154,105122,10.98,18286,63.11,3331.08,603.30,27.60,5.48,38.75,2.21,38.52,1.98
,"Montgomery County, OH","39113",6730,531542,12.66,101255,66.47,3234.38,628.33,27.87,5.54,38.43,2.73,38.27,2.36
,"Portage County, OH","39133",1351,162277,8.33,34467,39.20,3315.36,588.70,28.74,5.36,38.81,2.25,38.62,2.05
,"Richland County, OH","39139",1317,120589,10.92,19733,66.74,3249.85,604.99,26.79,5.51,38.55,2.73,38.29,2.31
,"Stark County, OH","39151",4025,372542,10.80,66442,60.58,3274.63,596.22,27.55,5.46,38.67,2.54,38.49,2.07
,"Summit County, OH","39153",5904,541228,10.91,100734,58.61,3267.47,594.89,28.46,5.62,38.69,2.48,38.54,2.14
,"Trumbull County, OH","39155",2107,200380,10.52,33459,62.97,3241.18,638.05,27.39,5.60,38.29,2.66,38.24,2.45
,"Warren County, OH","39165",2262,228882,9.88,41178,54.93,3347.00,564.64,29.90,5.14,38.71,2.37,38.54,2.00
,"Wayne County, OH","39169",1502,116038,12.94,20851,72.03,3375.79,571.20,28.69,5.38,38.95,2.47,38.76,2.07
,"Wood County, OH","39173",1401,130492,10.74,28810,48.63,3311.70,575.86,28.86,5.40,38.56,2.28,38.40,1.84
,"Unidentified Counties, OH","39999",30558,2699251,11.32,474005,64.47,3299.03,582.02,27.16,5.44,38.66,2.46,38.42,1.99
,"Canadian County, OK","40017",1763,139926,12.60,28361,62.16,3308.37,607.93,28.20,5.39,38.48,2.55,38.25,2.16
,"Cleveland County, OK","40027",2781,279641,9.94,62811,44.28,3288.12,578.58,28.39,5.49,38.39,2.36,38.30,1.99
,"Comanche County, OK","40031",1735,121526,14.28,24518,70.76,3258.36,577.62,26.53,5.24,38.54,2.42,38.35,1.98
,"Oklahoma County, OK","40109",11554,787958,14.66,163239,70.78,3235.58,601.65,27.96,5.77,38.38,2.70,38.25,2.23
,"Tulsa County, OK","40143",9120,646266,14.11,131571,69.32,3259.65,593.02,27.95,5.59,38.31,2.63,38.22,2.20
,"Unidentified Counties, OK","40999",23261,1955547,11.89,358251,64.93,3279.85,595.71,26.52,5.47,38.47,2.58,38.26,2.09
,"Clackamas County, OR","41005",3999,412672,9.69,75431,53.02,3363.45,573.71,30.16,5.48,38.91,2.25,38.72,1.92
,"Deschutes County, OR","41017",1808,186875,9.67,33554,53.88,3317.68,544.13,29.85,5.48,38.93,2.07,38.97,1.76
,"Douglas County, OR","41019",1068,109405,9.76,16975,62.92,3334.16,596.33,27.17,5.50,38.85,2.69,38.62,2.14
,"Jackson County, OR","41029",2252,217479,10.36,38373,58.69,3305.72,569.58,28.32,5.64,38.80,2.39,38.63,2.08
,"Lane County, OR","41039",3459,374748,9.23,75702,45.69,3347.27,599.24,28.90,5.56,38.83,2.35,38.72,2.08
,"Linn County, OR","41043",1456,125047,11.64,22916,63.54,3389.92,584.69,27.84,5.45,39.00,2.36,38.75,1.93
,"Marion County, OR","41047",4467,341286,13.09,66274,67.40,3341.31,599.20,28.32,5.84,38.88,2.61,38.59,2.15
,"Multnomah County, OR","41051",8573,807555,10.62,185955,46.10,3327.89,575.66,30.77,5.79,38.91,2.31,38.78,2.06
,"Washington County, OR","41067",6570,588957,11.16,123907,53.02,3333.53,572.96,30.47,5.48,38.79,2.28,38.79,2.00
,"Unidentified Counties, OR","41999",9979,978752,10.20,171312,58.25,3342.90,579.33,28.13,5.65,38.92,2.46,38.74,1.98
,"Adams County, PA","42001",972,102336,9.50,17467,55.65,3312.75,610.89,28.19,5.43,38.81,2.45,38.57,2.21
,"Allegheny County, PA","42003",12882,1223048,10.53,236792,54.40,3254.26,601.28,29.92,5.30,38.70,2.39,38.55,2.18
,"Beaver County, PA","42007",1561,166140,9.40,27476,56.81,3305.49,590.32,28.52,5.34,38.76,2.37,38.58,2.13
,"Berks County, PA","42011",4719,417854,11.29,77743,60.70,3285.85,599.52,28.13,5.68,38.78,2.49,38.57,2.13
,"Blair County, PA","42013",1205,123457,9.76,21185,56.88,3329.72,561.85,27.78,5.50,38.97,2.25,38.79,1.87
,"Bucks County, PA","42017",5775,628341,9.19,107804,53.57,3326.66,601.72,30.81,5.10,38.76,2.38,38.66,2.07
,"Butler County, PA","42019",1742,187108,9.31,32434,53.71,3335.51,558.67,29.88,5.29,38.82,2.27,38.62,2.01
,"Cambria County, PA","42021",1271,133054,9.55,21989,57.80,3212.68,593.68,27.77,5.43,38.62,2.63,38.34,2.18
,"Centre County, PA","42027",1171,162660,7.20,37363,31.34,3350.12,592.49,30.25,5.35,38.88,2.44,38.87,2.09
,"Chester County, PA","42029",5323,519293,10.25,95346,55.83,3343.60,580.15,30.88,5.21,38.89,2.28,38.76,1.97
,"Cumberland County, PA","42041",2612,250066,10.45,46735,55.89,3335.63,610.61,29.47,5.32,38.89,2.49,38.69,2.16
,"Dauphin County, PA","42043",3404,275710,12.35,52113,65.32,3236.43,637.75,28.42,5.74,38.62,2.84,38.45,2.45
,"Delaware County, PA","42045",6576,564696,11.65,110109,59.72,3282.83,627.52,30.39,5.53,38.60,2.54,38.56,2.32
,"Erie County, PA","42049",2994,274541,10.91,51421,58.23,3230.67,613.96,27.95,5.69,38.50,2.75,38.29,2.26
,"Fayette County, PA","42051",1296,131504,9.86,21430,60.48,3248.56,606.62,27.15,5.57,38.63,2.53,38.43,2.17
,"Franklin County, PA","42055",1786,154234,11.58,27153,65.78,3328.97,565.02,27.99,5.52,38.81,2.31,38.60,1.98
,"Lackawanna County, PA","42069",2076,210761,9.85,38231,54.30,3283.40,596.72,28.88,5.68,38.69,2.57,38.53,2.11
,"Lancaster County, PA","42071",7258,542903,13.37,101446,71.55,3359.21,585.50,28.81,5.46,38.87,2.35,38.70,2.03
,"Lebanon County, PA","42075",1581,139754,11.31,24820,63.70,3281.70,598.08,28.09,5.44,38.65,2.65,38.52,2.22
,"Lehigh County, PA","42077",4291,366494,11.71,70679,60.71,3272.96,606.10,28.65,5.74,38.78,2.68,38.61,2.27
,"Luzerne County, PA","42079",3284,317343,10.35,55297,59.39,3260.51,584.43,28.01,5.75,38.73,2.58,38.53,2.10
,"Lycoming County, PA","42081",1174,113841,10.31,20528,57.19,3330.41,562.99,28.10,5.30,38.86,2.38,38.60,2.00
,"Mercer County, PA","42085",1092,111750,9.77,18675,58.47,3257.20,592.17,27.72,5.59,38.70,2.69,38.50,2.27
,"Monroe County, PA","42089",1537,168046,9.15,30829,49.86,3205.47,629.73,28.79,5.75,38.49,2.81,38.43,2.41
,"Montgomery County, PA","42091",8702,826075,10.53,151530,57.43,3321.70,581.19,31.13,5.09,38.87,2.31,38.72,2.00
,"Northampton County, PA","42095",2789,303405,9.19,55185,50.54,3272.88,619.62,29.56,5.54,38.70,2.65,38.64,2.25
,"Philadelphia County, PA","42101",21288,1580863,13.47,364657,58.38,3175.95,628.59,28.63,5.86,38.45,2.81,38.40,2.43
,"Schuylkill County, PA","42107",1313,142569,9.21,22297,58.89,3261.27,637.27,27.94,5.54,38.60,2.72,38.40,2.34
,"Washington County, PA","42125",1967,207298,9.49,35102,56.04,3302.17,600.93,29.02,5.28,38.77,2.32,38.55,2.07
,"Westmoreland County, PA","42129",2953,352627,8.37,55805,52.92,3290.64,588.57,29.12,5.44,38.83,2.34,38.59,2.06
,"York County, PA","42133",4933,446078,11.06,80450,61.32,3292.29,624.45,28.41,5.52,38.67,2.65,38.49,2.29
,"Unidentified Counties, PA","42999",16218,1661688,9.76,273630,59.27,3313.16,592.91,27.69,5.44,38.90,2.43,38.68,2.05
,"Kent County, RI","44003",1552,163760,9.48,28972,53.57,3356.06,564.64,29.95,5.32,38.96,2.24,38.73,1.89
,"Providence County, RI","44007",7173,637357,11.25,133557,53.71,3266.03,606.38,29.09,5.80,38.76,2.71,38.56,2.33
,"Washington County, RI","44009",852,126150,6.75,23525,36.22,3372.16,591.76,30.59,5.27,38.99,2.24,38.75,1.89
,"Unidentified Counties, RI","44999",1061,132372,8.02,23018,46.09,3357.73,554.27,30.90,5.40,38.90,2.18,38.79,1.83
,"Aiken County, SC","45003",1860,168179,11.06,30742,60.50,3237.71,621.22,27.71,5.59,38.58,2.58,38.31,2.17
,"Anderson County, SC","45007",2298,198759,11.56,36862,62.34,3252.61,587.84,27.22,5.66,38.63,2.61,38.36,2.07
,"Beaufort County, SC","45013",2012,186844,10.77,29698,67.75,3252.82,577.91,28.15,5.78,38.50,2.48,38.40,2.04
,"Berkeley County, SC","45015",2697,217937,12.38,43627,61.82,3283.35,587.34,28.29,5.38,38.66,2.43,38.42,1.94
,"Charleston County, SC","45019",4803,401438,11.96,84187,57.05,3232.43,592.00,29.85,5.50,38.50,2.43,38.41,2.04
,"Dorchester County, SC","45035",1861,156456,11.89,31693,58.72,3277.91,586.98,28.34,5.51,38.60,2.61,38.38,2.10
,"Florence County, SC","45041",1695,138566,12.23,27756,61.07,3120.57,635.16,27.31,5.76,38.16,2.86,38.13,2.43
,"Greenville County, SC","45045",6409,506837,12.65,100862,63.54,3252.92,611.29,28.90,5.63,38.60,2.68,38.39,2.27
,"Horry County, SC","45051",3167,333268,9.50,56728,55.83,3239.60,600.17,27.92,5.70,38.37,2.54,38.24,2.16
,"Lexington County, SC","45063",3210,290642,11.04,56076,57.24,3285.83,615.62,28.31,5.57,38.39,2.61,38.32,2.07
,"Pickens County, SC","45077",1169,123479,9.47,25836,45.25,3316.92,598.71,27.17,5.56,38.80,2.55,38.50,2.01
,"Richland County, SC","45079",4646,411592,11.29,95544,48.63,3183.68,626.34,28.64,5.63,38.41,2.99,38.18,2.29
,"Spartanburg County, SC","45083",3820,306854,12.45,59917,63.75,3245.73,606.32,27.47,5.54,38.42,2.55,38.27,2.11
,"Sumter County, SC","45085",1386,106847,12.97,20682,67.01,3172.92,635.66,27.26,5.62,38.24,2.72,38.17,2.28
,"York County, SC","45091",2958,266439,11.10,53450,55.34,3269.78,608.74,28.82,5.64,38.58,2.73,38.47,2.21
,"Unidentified Counties, SC","45999",13038,1210232,10.77,212044,61.49,3161.43,624.85,26.76,5.67,38.31,2.87,38.17,2.32
,"Minnehaha County, SD","46099",2911,188616,15.43,37468,77.69,3351.95,579.03,28.75,5.19,38.71,2.33,38.77,1.99
,"Pennington County, SD","46103",1468,110141,13.33,19598,74.91,3295.27,580.09,27.58,5.52,38.68,2.41,38.46,1.94
,"Unidentified Counties, SD","46999",7755,570909,13.58,101808,76.17,3336.46,588.93,28.20,5.49,38.60,2.48,38.52,2.12
,"Blount County, TN","47009",1220,129929,9.39,22768,53.58,3300.08,573.22,27.38,5.59,38.53,2.24,38.35,1.87
,"Davidson County, TN","47037",10063,691243,14.56,164019,61.35,3245.97,610.90,29.06,5.68,38.53,2.52,38.45,2.18
,"Hamilton County, TN","47065",4235,361613,11.71,71292,59.40,3224.56,588.82,28.11,5.60,38.36,2.35,38.34,2.14
,"Knox County, TN","47093",5211,461860,11.28,96475,54.01,3275.95,596.69,28.54,5.60,38.43,2.32,38.38,2.06
,"Montgomery County, TN","47125",3382,200182,16.89,46279,73.08,3288.01,611.71,26.92,5.12,38.52,2.50,38.43,2.18
,"Rutherford County, TN","47149",4030,317157,12.71,72282,55.75,3245.39,590.57,28.33,5.50,38.31,2.35,38.19,1.97
,"Shelby County, TN","47157",13163,936961,14.05,196107,67.12,3136.89,630.81,27.59,5.81,38.23,2.80,38.18,2.39
,"Sullivan County, TN","47163",1539,157158,9.79,26456,58.17,3269.34,566.94,26.89,5.62,38.69,2.34,38.51,1.90
,"Sumner County, TN","47165",2193,183545,11.95,34789,63.04,3299.80,576.06,28.24,5.60,38.48,2.31,38.30,1.94
,"Washington County, TN","47179",1236,127806,9.67,25699,48.10,3294.27,610.59,27.84,5.46,38.80,2.57,38.52,2.24
,"Williamson County, TN","47187",2401,226257,10.61,42137,56.98,3360.62,564.48,31.59,5.00,38.69,1.97,38.57,1.78
,"Wilson County, TN","47189",1567,136442,11.48,25584,61.25,3310.37,615.41,28.86,5.50,38.48,2.34,38.39,2.03
,"Unidentified Counties, TN","47999",30776,2785831,11.05,488630,62.98,3250.13,596.13,26.65,5.54,38.46,2.47,38.28,2.01
,"Bell County, TX","48027",5976,347833,17.18,76317,78.30,3238.81,584.56,26.98,5.46,38.54,2.65,38.37,2.22
,"Bexar County, TX","48029",27014,1958578,13.79,422602,63.92,3216.43,587.94,28.13,5.88,38.34,2.65,38.18,2.22
,"Brazoria County, TX","48039",4630,362457,12.77,72800,63.60,3247.19,590.80,28.64,5.74,38.41,2.55,38.22,2.19
,"Brazos County, TX","48041",2692,222830,12.08,60225,44.70,3260.85,572.22,28.17,5.73,38.52,2.33,38.31,2.03
,"Cameron County, TX","48061",6276,423725,14.81,85951,73.02,3187.98,560.33,26.65,6.08,38.13,2.52,38.08,2.03
,"Collin County, TX","48085",10919,969603,11.26,202713,53.86,3271.33,577.95,30.52,5.46,38.53,2.30,38.38,2.01
,"Comal County, TX","48091",1480,141009,10.50,24392,60.68,3306.06,519.05,28.94,5.77,38.55,2.25,38.37,1.81
,"Dallas County, TX","48113",39263,2618148,15.00,573811,68.42,3237.04,596.16,28.28,6.03,38.58,2.59,38.44,2.25
,"Denton County, TX","48121",9786,836210,11.70,185859,52.65,3276.84,582.67,29.77,5.49,38.50,2.25,38.38,2.04
,"Ector County, TX","48135",2750,157087,17.51,32917,83.54,3154.77,563.54,26.40,5.54,38.06,2.42,37.95,2.13
,"Ellis County, TX","48139",2214,173620,12.75,34661,63.88,3307.69,582.54,27.91,5.74,38.52,2.31,38.38,2.06
,"El Paso County, TX","48141",12013,840410,14.29,176371,68.11,3188.35,543.31,26.80,5.92,38.42,2.30,38.28,1.99
,"Fort Bend County, TX","48157",9627,764828,12.59,158078,60.90,3227.43,570.26,30.72,5.45,38.34,2.19,38.24,2.01
,"Galveston County, TX","48167",3995,335036,11.92,65599,60.90,3244.06,565.13,28.54,5.77,38.42,2.43,38.24,1.93
,"Grayson County, TX","48181",1580,131140,12.05,23902,66.10,3246.80,597.36,27.12,5.81,38.48,2.63,38.28,2.15
,"Gregg County, TX","48183",1623,123367,13.16,23947,67.77,3237.22,594.63,26.62,5.64,38.39,2.48,38.14,2.10
,"Guadalupe County, TX","48187",1773,159659,11.10,32108,55.22,3247.81,578.17,28.33,5.64,38.40,2.47,38.20,2.12
,"Harris County, TX","48201",68422,4652980,14.70,1009617,67.77,3215.85,584.70,28.66,5.98,38.34,2.50,38.24,2.18
,"Hays County, TX","48209",2584,214485,12.05,51368,50.30,3281.06,579.99,28.94,5.79,38.53,2.43,38.36,2.08
,"Hidalgo County, TX","48215",14108,860661,16.39,183818,76.75,3178.30,551.85,26.77,5.96,38.10,2.45,37.95,2.01
,"Jefferson County, TX","48245",3475,256299,13.56,48123,72.21,3185.05,594.42,27.10,5.68,38.38,2.63,38.31,2.29
,"Johnson County, TX","48251",2117,167301,12.65,32063,66.03,3352.70,577.02,27.17,5.59,38.76,2.53,38.47,2.03
,"Kaufman County, TX","48257",1675,122883,13.63,24860,67.38,3290.87,580.28,27.97,5.63,38.51,2.28,38.37,1.91
,"Lubbock County, TX","48303",4017,305225,13.16,70643,56.86,3242.03,571.44,26.93,5.69,38.56,2.36,38.44,2.08
,"McLennan County, TX","48309",3446,251259,13.71,54277,63.49,3274.22,624.12,27.10,5.73,38.50,2.47,38.32,2.32
,"Midland County, TX","48329",2826,165049,17.12,34575,81.74,3214.37,556.22,27.51,5.31,38.32,2.13,38.21,2.00
,"Montgomery County, TX","48339",7139,570934,12.50,111086,64.27,3298.09,587.51,28.78,5.73,38.59,2.34,38.45,2.04
,"Nueces County, TX","48355",4520,361221,12.51,73863,61.19,3230.73,563.68,27.18,5.90,38.27,2.25,38.21,2.03
,"Parker County, TX","48367",1498,133463,11.22,24221,61.85,3311.82,538.33,28.32,5.52,38.73,2.32,38.46,1.71
,"Potter County, TX","48375",1714,120458,14.23,23156,74.02,3194.05,573.17,26.62,5.83,38.46,2.47,38.41,2.19
,"Randall County, TX","48381",1550,134442,11.53,27618,56.12,3224.86,568.32,27.66,5.41,38.51,2.49,38.36,2.23
,"Smith County, TX","48423",3055,227727,13.42,45747,66.78,3254.76,608.81,27.61,5.64,38.46,2.70,38.25,2.31
,"Tarrant County, TX","48439",27820,2054475,13.54,439899,63.24,3249.96,584.91,28.54,5.86,38.55,2.48,38.37,2.08
,"Taylor County, TX","48441",2094,136290,15.36,29677,70.56,3245.03,549.48,26.85,5.58,38.40,2.31,38.26,1.97
,"Tom Green County, TX","48451",1558,118019,13.20,24027,64.84,3230.33,597.63,27.25,5.46,38.29,2.53,38.15,2.19
,"Travis County, TX","48453",15142,1226698,12.34,288467,52.49,3289.90,577.82,29.85,5.97,38.66,2.28,38.53,2.04
,"Webb County, TX","48479",4872,274794,17.73,59141,82.38,3206.51,532.67,26.55,6.28,38.05,2.09,38.08,1.85
,"Wichita County, TX","48485",1624,132000,12.30,25258,64.30,3282.65,594.86,26.76,5.63,38.86,2.73,38.44,2.21
,"Williamson County, TX","48491",6432,547545,11.75,116747,55.09,3288.24,584.50,30.01,5.60,38.55,2.24,38.40,2.01
,"Unidentified Counties, TX","48999",56751,4704848,12.06,835351,67.94,3245.23,580.92,26.73,5.69,38.39,2.45,38.27,2.08
,"Cache County, UT","49005",2194,124438,17.63,30345,72.30,3279.30,547.01,27.91,5.26,38.49,2.32,38.33,2.00
,"Davis County, UT","49011",5481,347637,15.77,73477,74.59,3270.28,563.00,28.96,5.25,38.54,2.29,38.35,2.02
,"Salt Lake County, UT","49035",16754,1135649,14.75,250302,66.94,3247.23,574.46,29.00,5.57,38.60,2.42,38.44,2.09
,"Utah County, UT","49049",11618,606425,19.16,145609,79.79,3296.09,552.94,28.43,5.15,38.63,2.22,38.46,1.95
,"Washington County, UT","49053",2202,165662,13.29,30215,72.88,3316.69,562.80,28.09,5.38,38.64,2.18,38.50,1.92
,"Weber County, UT","49057",3766,251769,14.96,53091,70.93,3254.74,550.52,27.69,5.27,38.65,2.31,38.41,1.95
,"Unidentified Counties, UT","49999",6570,470253,13.97,92085,71.35,3241.69,541.07,28.01,5.52,38.57,2.21,38.39,1.87
,"Chittenden County, VT","50007",1450,162372,8.93,36283,39.96,3364.83,605.44,31.02,5.32,39.08,2.39,38.85,2.15
,"Unidentified Counties, VT","50999",4205,461285,9.12,77571,54.21,3349.52,588.48,29.01,5.55,39.07,2.37,38.84,2.02
,"Arlington County, VA","51013",2990,234965,12.73,60603,49.34,3296.85,564.63,32.47,5.11,38.88,2.26,38.70,1.93
,"Chesterfield County, VA","51041",3845,343599,11.19,67905,56.62,3283.48,595.88,29.71,5.51,38.79,2.45,38.39,2.00
,"Fairfax County, VA","51059",14220,1148433,12.38,228641,62.19,3274.00,575.22,31.56,5.49,38.68,2.39,38.52,1.99
,"Henrico County, VA","51087",3895,327898,11.88,66172,58.86,3244.70,607.99,29.90,5.34,38.61,2.77,38.41,2.38
,"Loudoun County, VA","51107",5067,398080,12.73,82962,61.08,3293.22,584.11,31.78,5.07,38.76,2.41,38.52,2.01
,"Prince William County, VA","51153",6675,463023,14.42,96588,69.11,3281.99,605.01,29.98,5.86,38.65,2.67,38.46,2.22
,"Spotsylvania County, VA","51177",1505,133033,11.31,25492,59.04,3317.05,600.56,28.91,5.58,38.81,2.66,38.45,2.27
,"Stafford County, VA","51179",1746,146649,11.91,29573,59.04,3334.69,586.23,29.37,5.53,38.98,2.39,38.57,1.92
,"Alexandria city, VA","51510",2647,160035,16.54,40241,65.78,3302.56,581.41,31.63,5.38,38.74,2.27,38.69,1.97
,"Chesapeake city, VA","51550",2902,240397,12.07,48685,59.61,3255.96,636.41,28.89,5.46,38.62,2.85,38.36,2.37
,"Hampton city, VA","51650",1736,134669,12.89,28476,60.96,3216.89,643.61,27.73,5.33,38.53,2.70,38.38,2.39
,"Newport News city, VA","51700",2717,179388,15.15,39489,68.80,3198.80,614.22,27.63,5.59,38.56,2.65,38.38,2.28
,"Norfolk city, VA","51710",3410,244703,13.94,54129,63.00,3204.40,631.24,27.40,5.54,38.67,2.78,38.34,2.39
,"Richmond city, VA","51760",3031,227032,13.35,56734,53.42,3156.56,630.31,28.08,5.78,38.36,2.81,38.34,2.38
,"Virginia Beach city, VA","51810",5710,450435,12.68,93626,60.99,3282.04,597.61,29.19,5.36,38.78,2.54,38.51,2.15
,"Unidentified Counties, VA","51999",38295,3637681,10.53,661852,57.86,3280.13,610.35,28.18,5.65,38.71,2.60,38.54,2.18
,"Benton County, WA","53005",2563,198171,12.93,37874,67.67,3331.30,590.01,28.24,5.51,38.75,2.36,38.56,2.06
,"Clark County, WA","53011",5520,474643,11.63,91459,60.35,3350.29,591.49,29.08,5.53,38.77,2.31,38.73,2.05
,"Cowlitz County, WA","53015",1295,106910,12.11,18838,68.74,3342.83,570.62,27.38,5.74,38.86,2.33,38.71,2.05
,"King County, WA","53033",25300,2188649,11.56,469640,53.87,3329.19,571.36,31.37,5.31,38.92,2.26,38.76,1.96
,"Kitsap County, WA","53035",2979,266414,11.18,47304,62.98,3400.90,586.20,28.68,5.58,38.94,2.26,38.78,1.92
,"Pierce County, WA","53053",11297,876764,12.88,177650,63.59,3346.01,598.25,28.68,5.51,38.88,2.55,38.66,2.12
,"Skagit County, WA","53057",1429,125619,11.38,21702,65.85,3385.30,592.32,28.35,5.65,38.96,2.33,38.76,1.92
,"Snohomish County, WA","53061",9883,801633,12.33,157272,62.84,3347.24,580.44,30.09,5.39,38.91,2.33,38.71,1.96
,"Spokane County, WA","53063",5895,506152,11.65,99852,59.04,3311.41,575.96,28.55,5.45,38.92,2.37,38.61,1.99
,"Thurston County, WA","53067",3067,280588,10.93,54990,55.77,3378.33,590.04,28.89,5.52,38.98,2.42,38.80,1.98
,"Whatcom County, WA","53073",2163,221404,9.77,46692,46.32,3425.49,567.65,29.57,5.43,39.12,2.23,38.90,1.84
,"Yakima County, WA","53077",3789,250193,15.14,48602,77.96,3332.11,568.15,27.56,5.94,38.68,2.24,38.58,1.91
,"Unidentified Counties, WA","53999",12382,1108603,11.17,192879,64.20,3349.61,565.99,28.10,5.77,38.90,2.37,38.66,1.93
,"Berkeley County, WV","54003",1361,114920,11.84,22402,60.75,3307.59,617.41,27.83,5.49,38.67,2.65,38.47,2.11
,"Kanawha County, WV","54039",1929,183293,10.52,32471,59.41,3199.22,619.12,27.18,5.78,38.12,2.74,37.90,2.16
,"Unidentified Counties, WV","54999",15385,1517644,10.14,267381,57.54,3236.66,609.88,26.93,5.60,38.49,2.61,38.27,2.14
,"Brown County, WI","55009",3323,262052,12.68,50605,65.67,3315.48,588.66,28.67,5.34,38.70,2.45,38.44,2.02
,"Dane County, WI","55025",5883,536416,10.97,120089,48.99,3340.37,588.88,30.60,5.06,38.85,2.38,38.68,2.07
,"Fond du Lac County, WI","55039",1066,102548,10.40,18314,58.21,3324.20,574.54,28.45,5.14,38.72,2.38,38.54,1.97
,"Kenosha County, WI","55059",1876,168521,11.13,32954,56.93,3266.54,610.16,28.31,5.58,38.59,2.64,38.36,2.29
,"La Crosse County, WI","55063",1188,118274,10.04,26062,45.58,3354.32,563.51,29.33,4.90,38.95,2.10,38.93,1.95
,"Marathon County, WI","55073",1451,135732,10.69,23629,61.41,3323.76,557.52,28.80,5.19,38.76,2.31,38.53,1.88
,"Milwaukee County, WI","55079",13427,952085,14.10,205883,65.22,3197.99,630.68,28.34,5.81,38.49,2.70,38.30,2.37
,"Outagamie County, WI","55087",2205,186059,11.85,35162,62.71,3364.12,585.82,29.28,4.97,38.60,2.31,38.39,2.01
,"Racine County, WI","55101",2285,196071,11.65,35130,65.04,3241.60,629.94,27.93,5.69,38.44,2.73,38.29,2.27
,"Rock County, WI","55105",1911,162309,11.77,30060,63.57,3315.43,557.57,27.94,5.63,38.82,2.20,38.53,1.84
,"Sheboygan County, WI","55117",1204,115344,10.44,19737,61.00,3373.81,551.34,28.44,5.54,38.96,2.29,38.78,1.75
,"Walworth County, WI","55127",917,103082,8.90,19284,47.55,3316.66,602.26,29.16,5.33,38.74,2.46,38.49,2.13
,"Washington County, WI","55131",1291,135101,9.56,22448,57.51,3361.04,527.58,30.21,4.68,38.80,1.99,38.59,1.63
,"Waukesha County, WI","55133",3863,400621,9.64,68524,56.37,3347.68,576.70,31.08,4.66,38.74,2.25,38.51,1.96
,"Winnebago County, WI","55139",1833,170414,10.76,33228,55.16,3358.86,580.02,28.88,5.21,38.74,2.19,38.49,1.91
,"Unidentified Counties, WI","55999",21252,2050854,10.36,342710,62.01,3372.36,588.96,28.71,5.28,38.84,2.37,38.62,2.05
,"Unidentified Counties, WY","56999",6903,579315,11.92,107740,64.07,3193.73,539.36,27.87,5.49,38.60,2.17,38.54,1.90
