
<html>
 <head>
  <title>California Weather Data: Comma-delimited data file--UC IPM</title>
 </head>
 <body>
 <pre>
"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve <a href=#COLHDR>data in comma delimited data file format</a>"
" "
"Weather database request:  "
" "
"Time Period: March 1, 1998 to August 16, 2020, retrieved on August 17, 2020"
" (8205 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 96% of requested data were available from station SJ_VALLEY.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation         7504          610            5           86            0        "
"                     SJ_VALLEY.A  HOLLISTR.A   HOLLISTR.C   HOLLISTR.C   "
"Air Temps, max/min    7890          216           23           76            0        "
"                     SJ_VALLEY.A  HOLLISTR.A   HOLLISTR.C   HOLLISTR.C   "
"Soil Temps, max/min   7897            0            0            0          308        "
"                     SJ_VALLEY.A  none         none         none         "
"Rel. Humidity         7841            0            0            0          364        "
"                     SJ_VALLEY.A  none         none         none         "
"ETo                   7969            0            0            0          236        "
"                     SJ_VALLEY.A  none         none         none         "
"Solar Radiation       7888          218            0           99            0        "
"                     SJ_VALLEY.A  HOLLISTR.A   none         SANJOSE.A    "
"Wind Speed & Dir      7943            0            0            0          262        "
"                     SJ_VALLEY.A  none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Inches"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Fahrenheit"
"   7       Air temperature, minimum      Fahrenheit"
"   8       Air temperature, observed     Fahrenheit"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Miles per hour"
"  12       Bulb temperature, wet         Fahrenheit"
"  13       Bulb temperature, dry         Fahrenheit"
"  14       Soil temperature, maximum     Fahrenheit"
"  15       Soil temperature, minimum     Fahrenheit"
"  16       Pan evaporation               Inches"
"  17       Solar radiation               Langleys"
"  18       Reference evapotranspiration  Inches"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
<a name=COLHDR>" "</a>
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
SJ_VALLEY.A,20100826,2359,0.00,,81,51,,,NW,5,,,74,69,,572,0.21,92.7,40.3,
SJ_VALLEY.A,20100827,2359,0.00,,76,49,,,S,5,,,73,68,,546,0.19,92.7,49.0,
SJ_VALLEY.A,20100828,2359,0.00,,68,49,,,SW,7,,,71,67,,511,0.18,87.9,58.6,
SJ_VALLEY.A,20100829,2359,0.00,,70,48,,,NW,6,,,71,66,,542,0.18,90.9,53.3,
SJ_VALLEY.A,20100830,2359,0.00,,70,46,,,W,5,,,70,65,,567,0.19,91.1,49.8,
SJ_VALLEY.A,20100831,2359,0.00,,85,52,,,SE,4,,,73,66,,561,0.20,91.7,33.5,
SJ_VALLEY.A,20100901,2359,0.00,,95,51,,,SE,3,,,76,67,,557,0.22,87.4,19.7,
SJ_VALLEY.A,20100902,2359,0.00,,88,53,,,NW,6,,,74,69,,554,0.24,90.5,31.7,
SJ_VALLEY.A,20100903,2359,0.00,,86,49,,,NW,5,,,74,68,,555,0.21,93.4,35.1,
SJ_VALLEY.A,20100904,2359,0.00,,81,49,,,NW,4,,,74,69,,516,0.18,93.8,41.5,
SJ_VALLEY.A,20100905,2359,0.00,,78,47,,,NW,4,,,73,67,,532,0.18,92.3,39.9,
SJ_VALLEY.A,20100906,2359,0.00,,87,46,,,NW,5,,,72,66,,555,0.22,92.6,24.3,
SJ_VALLEY.A,20100907,2359,0.00,,67,48,,,SE,5,,,70,66,,510,0.16,93.3,66.6,
SJ_VALLEY.A,20100908,2359,0.00,,67,55,,,W,8,,,70,67,,345,0.11,85.3,64.3,
SJ_VALLEY.A,20100909,2359,0.00,,72,51,,,W,5,,,70,65,,493,0.16,90.6,50.2,
SJ_VALLEY.A,20100910,2359,0.00,,83,45,,,SE,4,,,71,64,,537,0.19,91.3,30.2,
SJ_VALLEY.A,20100911,2359,0.00,,81,48,,,NW,5,,,71,65,,526,0.20,92.0,37.8,
SJ_VALLEY.A,20100912,2359,0.00,,68,48,,,NW,5,,,69,65,,464,0.15,92.2,62.1,
SJ_VALLEY.A,20100913,2359,0.00,,67,46,,,NW,5,,,68,64,,374,0.12,91.2,57.1,
SJ_VALLEY.A,20100914,2359,0.00,,73,45,,,NW,4,,,69,63,,443,0.15,90.9,40.8,
SJ_VALLEY.A,20100915,2359,0.00,,76,47,,,NW,4,,,70,64,,461,0.15,94.1,42.0,
SJ_VALLEY.A,20100916,2359,0.00,,81,49,,,SE,3,,,72,64,,498,0.17,91.0,42.6,
SJ_VALLEY.A,20100917,2359,0.00,,75,58,,,E,4,,,73,68,,407,0.14,90.1,63.9,
SJ_VALLEY.A,20100918,2359,0.00,,72,52,,,NW,6,,,72,68,,359,0.12,91.2,65.0,
SJ_VALLEY.A,20100919,2359,0.00,,76,50,,,NW,5,,,71,66,,400,0.13,90.7,59.9,
SJ_VALLEY.A,20100920,2359,0.00,,78,52,,,NW,4,,,73,67,,482,0.17,90.1,43.9,
SJ_VALLEY.A,20100921,2359,0.00,,68,47,,,SW,7,,,70,67,,480,0.16,90.5,58.0,
SJ_VALLEY.A,20100922,2359,0.00,,69,50,,,W,6,,,69,65,,467,0.16,88.1,50.6,
SJ_VALLEY.A,20100923,2359,0.00,,85,43,,,SE,3,,,70,64,,485,0.16,90.1,26.7,
SJ_VALLEY.A,20100924,2359,0.00,,93,49,,,SE,3,,,72,65,,476,0.18,80.3,18.9,
SJ_VALLEY.A,20100925,2359,0.00,,99,52,,,SE,3,,,73,66,,470,0.20,80.5,15.1,
SJ_VALLEY.A,20100926,2359,0.00,,98,54,,,SE,3,,,74,68,,466,0.19,77.7,18.1,
SJ_VALLEY.A,20100927,2359,0.00,,102,53,,,SE,3,,,75,68,,456,0.19,73.6,15.6,
SJ_VALLEY.A,20100928,2359,0.00,,103,59,,,SE,3,,,75,70,,415,0.19,67.5,16.1,
SJ_VALLEY.A,20100929,2359,0.00,,85,55,,,NW,6,,,74,71,,441,0.20,87.8,33.4,
SJ_VALLEY.A,20100930,2359,0.00,,84,50,,,NW,5,,,72,68,,421,0.16,91.5,36.4,
SJ_VALLEY.A,20101001,2359,0.00,,82,53,,,NW,3,,,72,67,,352,0.12,91.7,43.7,
SJ_VALLEY.A,20101002,2359,0.00,,79,53,,,NW,5,,,71,68,,424,0.16,89.8,46.2,
SJ_VALLEY.A,20101003,2359,0.00,,69,52,,,NW,6,,,70,67,,404,0.13,90.6,64.4,
SJ_VALLEY.A,20101004,2359,0.00,,62,51,,,SW,8,,,67,65,,281,0.10,89.4,67.4,
SJ_VALLEY.A,20101005,2359,0.00,,68,48,,,NW,3,,,65,63,,218,0.06,90.0,56.0,
SJ_VALLEY.A,20101006,2359,0.00,,70,50,,,NW,4,,,64,62,,311,0.06,,,
SJ_VALLEY.A,20101007,2359,0.00,,71,48,,,W,4,,,66,62,,365,0.12,90.1,52.8,
SJ_VALLEY.A,20101008,2359,0.00,,79,44,,,SE,3,,,67,62,,404,0.13,89.6,35.9,
SJ_VALLEY.A,20101009,2359,0.00,,83,47,,,SE,3,,,67,63,,397,0.14,86.5,30.2,
SJ_VALLEY.A,20101010,2359,0.00,,84,51,,,SE,3,,,68,64,,392,0.14,89.2,39.0,
SJ_VALLEY.A,20101011,2359,0.00,,90,51,,,SE,3,,,70,64,,390,0.14,90.0,31.0,
SJ_VALLEY.A,20101012,2359,0.00,,92,52,,,SE,3,,,70,65,,390,0.15,80.2,23.4,
SJ_VALLEY.A,20101013,2359,0.00,,94,56,,,NW,4,,,70,67,,335,0.15,81.9,25.1,
SJ_VALLEY.A,20101014,2359,0.02,,94,52,,,SE,4,,,69,66,,383,0.15,90.3,24.5,
SJ_VALLEY.A,20101015,2359,0.02,,74,48,,,NW,4,,,68,65,,379,0.12,91.7,60.8,
SJ_VALLEY.A,20101016,2359,0.01,,71,50,,,NW,4,,,66,64,,281,0.09,92.4,57.7,
SJ_VALLEY.A,20101017,2359,0.18,,59,50,,,NW,3,,,65,63,,89,0.02,91.0,72.6,
SJ_VALLEY.A,20101018,2359,0.00,,71,50,,,NW,3,,,65,62,,322,0.09,90.5,60.0,
SJ_VALLEY.A,20101019,2359,0.00,,77,45,,,NW,3,,,65,62,,367,0.11,93.8,46.5,
SJ_VALLEY.A,20101020,2359,0.00,,74,51,,,NW,6,,,64,62,,512,0.10,,,
SJ_VALLEY.A,20101021,2359,0.00,,66,50,,,W,5,,,64,63,,260,0.08,83.7,54.3,
SJ_VALLEY.A,20101022,2359,0.04,,68,51,,,NW,4,,,64,62,,235,0.07,90.8,59.0,
SJ_VALLEY.A,20101023,2359,0.22,,69,51,,,NW,3,,,64,62,,218,0.07,91.7,47.4,
SJ_VALLEY.A,20101024,2359,0.28,,71,55,,,W,5,,,65,62,,165,0.05,93.8,76.2,
SJ_VALLEY.A,20101025,2359,0.00,,65,48,,,W,4,,,64,62,,323,0.10,87.9,45.7,
SJ_VALLEY.A,20101026,2359,0.00,,68,40,,,SE,3,,,63,59,,347,0.10,90.3,41.5,
SJ_VALLEY.A,20101027,2359,0.00,,72,36,,,SE,3,,,61,58,,319,0.11,90.6,29.6,
SJ_VALLEY.A,20101028,2359,0.00,,80,40,,,SE,3,,,62,57,,328,0.11,81.3,20.8,
SJ_VALLEY.A,20101029,2359,0.10,,66,43,,,W,4,,,61,58,,187,0.07,85.5,42.4,
SJ_VALLEY.A,20101030,2359,0.01,,66,51,,,NW,3,,,61,59,,213,0.06,87.8,57.6,
SJ_VALLEY.A,20101031,2359,0.01,,72,43,,,SE,3,,,63,58,,325,0.09,91.4,42.2,
SJ_VALLEY.A,20101101,2359,0.00,,77,44,,,SE,3,,,63,58,,323,0.10,89.9,30.9,
SJ_VALLEY.A,20101102,2359,0.00,,83,46,,,SE,3,,,64,59,,321,0.11,87.1,29.6,
SJ_VALLEY.A,20101103,2359,0.04,,86,47,,,SE,2,,,65,60,,309,0.10,88.6,30.3,
SJ_VALLEY.A,20101104,2359,0.01,,89,49,,,SE,3,,,65,61,,279,0.10,85.9,32.6,
SJ_VALLEY.A,20101105,2359,0.00,,67,50,,,SE,4,,,64,61,,273,0.08,91.8,64.3,
SJ_VALLEY.A,20101106,2359,0.04,,65,51,,,W,4,,,63,61,,156,0.04,92.1,68.0,
SJ_VALLEY.A,20101107,2359,0.33,,61,48,,,W,3,,,61,59,,90,0.02,92.6,82.0,
SJ_VALLEY.A,20101108,2359,0.00,,61,43,,,SE,3,,,60,57,,264,0.07,91.3,58.2,
SJ_VALLEY.A,20101109,2359,0.00,,62,37,,,W,3,,,59,55,,299,0.08,92.2,45.5,
SJ_VALLEY.A,20101110,2359,0.00,,62,46,,,NW,4,,,60,57,,260,0.07,91.3,48.0,
SJ_VALLEY.A,20101111,2359,0.00,,67,39,,,,,,,,,,299,,,,
SJ_VALLEY.A,20101112,2359,0.00,,70,34,,,,,,,,,,285,,,,
SJ_VALLEY.A,20101113,2359,0.00,,71,38,,,,,,,,,,263,,,,
SJ_VALLEY.A,20101114,2359,0.00,,77,44,,,,,,,,,,249,,,,
SJ_VALLEY.A,20101115,2359,0.00,,80,49,,,,,,,,,,274,,,,
SJ_VALLEY.A,20101116,2359,0.00,,75,43,,,,,,,,,,277,,,,
SJ_VALLEY.A,20101117,2359,0.00,,74,38,,,,,,,,,,280,,,,
SJ_VALLEY.A,20101118,2359,0.00,,62,35,,,,,,,,,,195,,,,
SJ_VALLEY.A,20101119,2359,0.06,,55,46,,,,,,,,,,66,,,,
SJ_VALLEY.A,20101120,2359,0.74,,57,41,,,,,,,,,,181,,,,
SJ_VALLEY.A,20101121,2359,0.21,,54,41,,,,,,,,,,200,,,,
SJ_VALLEY.A,20101122,2359,0.04,,57,40,,,,,,,,,,184,,,,
SJ_VALLEY.A,20101123,2359,0.07,,55,37,,,W,6,,,54,52,,108,0.03,,,
SJ_VALLEY.A,20101124,2359,0.00,,52,30,,,SE,3,,,52,49,,276,0.06,84.0,32.0,
SJ_VALLEY.A,20101125,2359,0.00,,57,25,,,SE,2,,,50,47,,270,0.06,88.5,33.9,
SJ_VALLEY.A,20101126,2359,0.00,,61,27,,,SE,2,,,51,46,,263,0.06,87.1,34.6,
SJ_VALLEY.A,20101127,2359,0.28,,51,36,,,W,5,,,50,48,,97,0.02,90.4,73.4,
SJ_VALLEY.A,20101128,2359,0.00,,54,34,,,S,3,,,50,47,,248,0.06,88.2,46.9,
SJ_VALLEY.A,20101129,2359,0.00,,56,28,,,SE,2,,,49,45,,257,0.06,92.0,36.7,
SJ_VALLEY.A,20101130,2359,0.00,,58,29,,,SE,2,,,49,45,,206,0.05,86.1,39.0,
SJ_VALLEY.A,20101201,2359,0.00,,61,32,,,SE,2,,,50,46,,207,0.05,85.9,41.5,
SJ_VALLEY.A,20101202,2359,0.00,,58,34,,,SE,2,,,49,47,,118,0.03,85.6,44.4,
SJ_VALLEY.A,20101203,2359,0.00,,60,40,,,SE,2,,,51,48,,121,0.03,85.9,53.2,
SJ_VALLEY.A,20101204,2359,0.03,,62,47,,,SE,4,,,52,50,,107,0.04,90.5,52.1,
SJ_VALLEY.A,20101205,2359,0.17,,68,41,,,SE,6,,,54,50,,221,0.09,92.2,35.4,
SJ_VALLEY.A,20101206,2359,0.00,,64,41,,,SE,4,,,55,52,,218,0.06,91.3,62.4,
SJ_VALLEY.A,20101207,2359,0.00,,66,35,,,SE,3,,,54,50,,239,0.06,92.6,46.6,
SJ_VALLEY.A,20101208,2359,0.02,,60,40,,,SE,2,,,53,50,,110,0.02,90.2,70.0,
SJ_VALLEY.A,20101209,2359,0.01,,63,51,,,SE,2,,,56,53,,92,0.02,91.2,80.6,
SJ_VALLEY.A,20101210,2359,0.00,,64,54,,,SE,2,,,57,55,,101,0.02,92.7,79.6,
SJ_VALLEY.A,20101211,2359,0.00,,66,50,,,SE,3,,,59,56,,182,0.05,90.1,72.4,
SJ_VALLEY.A,20101212,2359,0.00,,66,43,,,SE,3,,,58,54,,233,0.06,91.9,64.5,
SJ_VALLEY.A,20101213,2359,0.00,,59,45,,,NE,3,,,57,55,,150,0.04,91.6,74.8,
SJ_VALLEY.A,20101214,2359,0.20,,58,47,,,,,,,,,,47,,,,
SJ_VALLEY.A,20101215,2359,0.00,,56,37,,,,,,,,,,161,,,,
SJ_VALLEY.A,20101216,2359,0.05,,59,32,,,,,,,,,,212,,,,
SJ_VALLEY.A,20101217,2359,0.18,,61,47,,,SW,2,,,,,,76,0.00,,,
SJ_VALLEY.A,20101218,2359,0.39,,58,52,,,W,3,,,55,53,,56,0.01,91.9,81.9,
SJ_VALLEY.A,20101219,2359,0.41,,65,50,,,,,,,,,,30,,,,
SJ_VALLEY.A,20101220,2359,0.12,,52,44,,,,,,,,,,53,,,,
SJ_VALLEY.A,20101221,2400,0.00,,58,38,,,,,,,,,,176,,,,
SJ_VALLEY.A,20101222,2359,0.00,,61,51,,,,,,,,,,199,,,,
SJ_VALLEY.A,20101223,2359,0.00,,59,42,,,,,,,,,,191,,,,
SJ_VALLEY.A,20101224,2359,0.00,,59,37,,,,,,,,,,181,,,,
SJ_VALLEY.A,20101225,2359,0.37,,61,46,,,,,,,,,,58,,,,
SJ_VALLEY.A,20101226,2359,0.00,,58,41,,,,,,,,,,170,,,,
SJ_VALLEY.A,20101227,2359,0.00,,59,36,,,,,,,,,,218,,,,
SJ_VALLEY.A,20101228,2359,0.34,,55,40,,,,,,,,,,113,,,,
SJ_VALLEY.A,20101229,2359,0.40,,55,40,,,,,,,,,,105,,,,
SJ_VALLEY.A,20101230,2359,0.00,,52,32,,,,,,,,,,241,,,,
SJ_VALLEY.A,20101231,2359,0.00,,52,32,,,,,,,,,,173,,,,
SJ_VALLEY.A,20110101,2359,0.63,,56,45,,,,,,,,,,126,,,,
SJ_VALLEY.A,20110102,2359,0.26,,53,43,,,,,,,,,,59,,,,
SJ_VALLEY.A,20110103,2359,0.00,,57,39,,,,,,,,,,167,,,,
SJ_VALLEY.A,20110104,2359,0.00,,60,33,,,,,,,,,,239,,,,
SJ_VALLEY.A,20110105,2359,0.00,,62,32,,,,,,,,,,246,,,,
SJ_VALLEY.A,20110106,2359,0.00,,57,31,,,,,,,,,,188,,,,
SJ_VALLEY.A,20110107,2359,0.00,,50,32,,,,,,,,,,171,,,,
SJ_VALLEY.A,20110108,2359,0.00,,47,32,,,,,,,,,,113,,,,
SJ_VALLEY.A,20110109,2359,0.00,,49,30,,,,,,,,,,158,,,,
SJ_VALLEY.A,20110110,2359,0.00,,52,27,,,,,,,,,,229,,,,
SJ_VALLEY.A,20110111,2359,0.00,,54,38,,,NW,2,,,,,,100,0.02,,,
SJ_VALLEY.A,20110112,2359,0.00,,66,41,,,SE,3,,,52,47,,252,0.07,89.5,44.7,
SJ_VALLEY.A,20110113,2359,0.00,,61,39,,,SE,2,,,51,48,,152,0.03,91.1,74.0,
SJ_VALLEY.A,20110114,2359,0.00,,62,45,,,NE,3,,,55,51,,243,0.06,88.5,69.6,
SJ_VALLEY.A,20110115,2359,0.00,,77,41,,,SE,3,,,55,50,,250,0.07,87.9,42.7,
SJ_VALLEY.A,20110116,2359,0.00,,71,43,,,SE,2,,,56,51,,270,0.07,90.6,51.1,
SJ_VALLEY.A,20110117,2359,0.00,,68,43,,,SE,3,,,56,52,,261,0.07,91.4,65.1,
SJ_VALLEY.A,20110118,2359,0.00,,70,42,,,SE,3,,,55,51,,276,0.07,92.0,39.0,
SJ_VALLEY.A,20110119,2359,0.00,,64,37,,,SE,3,,,55,51,,261,0.07,90.0,54.3,
SJ_VALLEY.A,20110120,2359,0.00,,71,34,,,SE,3,,,54,50,,281,0.07,90.1,40.7,
SJ_VALLEY.A,20110121,2359,0.00,,71,36,,,SE,2,,,54,50,,281,0.07,90.8,43.6,
SJ_VALLEY.A,20110122,2359,0.00,,72,38,,,SE,3,,,55,50,,271,0.07,90.7,41.2,
SJ_VALLEY.A,20110123,2359,0.00,,74,38,,,SE,2,,,55,51,,283,0.07,89.0,37.0,
SJ_VALLEY.A,20110124,2359,0.00,,71,34,,,SE,2,,,55,50,,291,0.08,89.7,35.7,
SJ_VALLEY.A,20110125,2359,0.00,,70,35,,,SE,3,,,55,50,,296,0.08,90.3,37.8,
SJ_VALLEY.A,20110126,2359,0.00,,73,36,,,SE,2,,,55,51,,302,0.08,89.5,34.9,
SJ_VALLEY.A,20110127,2359,0.03,,76,36,,,SE,2,,,56,51,,307,0.08,91.4,32.6,
SJ_VALLEY.A,20110128,2359,0.00,,65,34,,,NW,3,,,54,50,,304,0.08,92.3,54.6,
SJ_VALLEY.A,20110129,2359,0.00,,60,46,,,W,4,,,55,52,,234,0.06,91.2,66.2,
SJ_VALLEY.A,20110130,2359,0.32,,56,42,,,W,6,,,54,52,,137,0.04,91.6,75.3,
SJ_VALLEY.A,20110131,2359,0.10,,60,37,,,SE,3,,,54,50,,309,0.07,92.1,64.0,
SJ_VALLEY.A,20110201,2359,0.00,,65,40,,,SE,3,,,55,51,,313,0.08,92.1,38.9,
SJ_VALLEY.A,20110202,2359,0.00,,64,31,,,SE,3,,,54,49,,327,0.08,84.4,35.3,
SJ_VALLEY.A,20110203,2359,0.00,,66,31,,,SE,2,,,53,48,,330,0.08,91.9,31.7,
SJ_VALLEY.A,20110204,2359,0.00,,68,33,,,SE,2,,,54,49,,308,0.08,90.2,40.5,
SJ_VALLEY.A,20110205,2359,0.00,,74,37,,,SE,3,,,55,50,,306,0.10,89.6,37.2,
SJ_VALLEY.A,20110206,2359,0.00,,75,47,,,SE,3,,,58,53,,330,0.11,79.3,35.9,
SJ_VALLEY.A,20110207,2359,0.00,,73,38,,,NW,3,,,57,52,,341,0.08,,,
SJ_VALLEY.A,20110208,2359,0.00,,61,37,,,NW,5,,,55,52,,356,0.11,82.5,29.2,
SJ_VALLEY.A,20110209,2359,0.00,,63,29,,,NE,3,,,53,49,,354,0.10,85.7,34.0,
SJ_VALLEY.A,20110210,2359,0.00,,69,30,,,SE,2,,,54,49,,361,0.09,87.9,26.5,
SJ_VALLEY.A,20110211,2359,0.00,,69,31,,,SE,3,,,54,49,,366,0.10,90.3,34.5,
SJ_VALLEY.A,20110212,2359,0.00,,72,32,,,NW,3,,,55,50,,370,0.11,88.8,30.2,
SJ_VALLEY.A,20110213,2359,0.00,,67,31,,,NW,4,,,54,49,,367,0.10,89.1,35.0,
SJ_VALLEY.A,20110214,2359,0.04,,57,40,,,W,2,,,54,51,,141,0.03,92.4,84.2,
SJ_VALLEY.A,20110215,2359,0.01,,63,47,,,SW,4,,,55,52,,247,0.08,93.5,44.8,
SJ_VALLEY.A,20110216,2359,0.52,,54,39,,,W,7,,,54,51,,226,0.07,90.3,59.7,
SJ_VALLEY.A,20110217,2359,0.37,,53,42,,,SE,5,,,51,49,,115,0.03,88.1,72.3,
SJ_VALLEY.A,20110218,2359,0.41,,53,43,,,NE,4,,,50,48,,83,0.01,91.5,76.8,
SJ_VALLEY.A,20110219,2359,0.30,,49,38,,,W,5,,,50,48,,117,0.02,90.0,72.6,
SJ_VALLEY.A,20110220,2359,0.16,,55,37,,,W,3,,,52,47,,395,0.09,90.7,49.7,
SJ_VALLEY.A,20110221,2359,0.07,,54,36,,,NW,3,,,51,48,,255,0.06,89.1,52.4,
SJ_VALLEY.A,20110222,2359,0.02,,59,34,,,W,4,,,52,47,,394,0.10,89.5,48.8,
SJ_VALLEY.A,20110223,2359,0.02,,53,34,,,W,4,,,51,48,,311,0.08,90.6,57.1,
SJ_VALLEY.A,20110224,2359,0.03,,55,34,,,W,3,,,51,48,,204,0.05,89.4,57.0,
SJ_VALLEY.A,20110225,2359,0.05,,53,39,,,SW,7,,,52,49,,201,0.06,90.4,58.4,
SJ_VALLEY.A,20110226,2359,0.05,,49,28,,,N,3,,,50,47,,400,0.08,89.2,40.2,
SJ_VALLEY.A,20110227,2359,0.00,,56,26,,,NW,3,,,50,45,,431,0.10,91.4,37.6,
SJ_VALLEY.A,20110228,2359,0.00,,57,28,,,W,4,,,51,46,,410,0.10,92.1,48.4,
SJ_VALLEY.A,20110301,2359,0.00,,59,30,,,W,3,,,51,46,,372,0.09,,,
SJ_VALLEY.A,20110302,2359,0.15,,65,47,,,NW,4,,,53,50,,240,0.06,,,
SJ_VALLEY.A,20110303,2359,0.00,,67,45,,,W,3,,,57,52,,394,0.11,91.1,51.9,
SJ_VALLEY.A,20110304,2359,0.00,,70,38,,,SE,3,,,57,52,,420,0.11,91.6,35.7,
SJ_VALLEY.A,20110305,2359,0.00,,71,44,,,N,3,,,58,53,,402,0.12,88.2,35.4,
SJ_VALLEY.A,20110306,2359,0.04,,62,52,,,W,5,,,57,56,,129,0.03,89.8,75.8,
SJ_VALLEY.A,20110307,2359,0.02,,59,47,,,W,8,,,57,54,,406,0.13,84.4,50.4,
SJ_VALLEY.A,20110308,2359,0.00,,64,45,,,W,3,,,58,54,,359,0.10,90.5,65.6,
SJ_VALLEY.A,20110309,2359,0.00,,70,43,,,SE,3,,,59,54,,401,0.11,91.6,54.8,
SJ_VALLEY.A,20110310,2359,0.00,,64,42,,,W,4,,,59,56,,366,0.11,91.3,61.7,
SJ_VALLEY.A,20110311,2359,0.00,,60,43,,,W,4,,,60,56,,468,0.13,92.0,49.5,
SJ_VALLEY.A,20110312,2359,0.00,,65,37,,,W,3,,,59,55,,436,0.12,90.7,44.3,
SJ_VALLEY.A,20110313,2359,0.01,,65,42,,,W,3,,,58,56,,264,0.07,90.5,55.2,
SJ_VALLEY.A,20110314,2359,0.00,,68,48,,,W,4,,,61,57,,352,0.10,91.3,73.0,
SJ_VALLEY.A,20110315,2359,0.00,,69,48,,,W,6,,,62,58,,414,0.13,90.7,58.6,
SJ_VALLEY.A,20110316,2359,0.07,,60,44,,,W,5,,,61,58,,271,0.08,88.2,41.3,
SJ_VALLEY.A,20110317,2359,0.00,,64,35,,,W,3,,,60,55,,483,0.13,91.0,37.1,
SJ_VALLEY.A,20110318,2359,0.59,,62,37,,,W,5,,,58,55,,218,0.06,88.1,49.4,
SJ_VALLEY.A,20110319,2359,0.29,,57,41,,,SE,6,,,55,53,,197,0.06,85.6,61.8,
SJ_VALLEY.A,20110320,2359,0.77,,53,44,,,SE,4,,,53,52,,135,0.03,89.1,73.2,
SJ_VALLEY.A,20110321,2359,0.42,,55,41,,,SW,5,,,55,51,,426,0.11,89.0,65.1,
SJ_VALLEY.A,20110322,2359,0.12,,59,38,,,W,3,,,55,52,,317,0.08,91.3,51.6,
SJ_VALLEY.A,20110323,2359,0.15,,56,46,,,W,6,,,55,53,,277,0.08,90.1,66.9,
SJ_VALLEY.A,20110324,2359,0.30,,55,43,,,SW,6,,,54,52,,164,0.05,86.8,64.3,
SJ_VALLEY.A,20110325,2359,0.43,,57,43,,,W,4,,,55,51,,300,0.08,86.4,64.1,
SJ_VALLEY.A,20110326,2359,0.33,,56,46,,,W,4,,,56,53,,218,0.05,91.6,73.2,
SJ_VALLEY.A,20110327,2359,0.00,,59,40,,,W,5,,,57,53,,496,0.14,90.5,56.9,
SJ_VALLEY.A,20110328,2359,0.07,,63,44,,,NW,3,,,59,55,,531,0.15,91.8,56.5,
SJ_VALLEY.A,20110329,2359,0.00,,67,39,,,W,3,,,60,55,,516,0.15,92.3,51.1,
SJ_VALLEY.A,20110330,2359,0.00,,76,48,,,E,3,,,62,57,,475,0.15,89.4,51.1,
SJ_VALLEY.A,20110331,2359,0.00,,83,48,,,SE,3,,,64,58,,556,0.18,91.1,44.6,
SJ_VALLEY.A,20110401,2359,0.00,,85,45,,,W,3,,,65,60,,559,0.19,89.7,38.6,
SJ_VALLEY.A,20110402,2359,0.00,,67,42,,,W,4,,,64,61,,339,0.10,92.1,62.4,
SJ_VALLEY.A,20110403,2359,0.00,,69,38,,,SE,3,,,63,58,,582,0.16,92.9,33.8,
SJ_VALLEY.A,20110404,2359,0.00,,80,38,,,W,3,,,64,58,,576,0.18,89.6,30.1,
SJ_VALLEY.A,20110405,2359,0.00,,72,42,,,NW,3,,,64,59,,568,0.18,90.0,46.4,
SJ_VALLEY.A,20110406,2359,0.00,,67,39,,,W,4,,,64,59,,582,0.17,93.4,51.1,
SJ_VALLEY.A,20110407,2359,0.02,,54,37,,,W,8,,,62,59,,521,0.15,84.8,55.9,
SJ_VALLEY.A,20110408,2359,0.00,,55,31,,,N,3,,,59,56,,470,0.12,92.3,47.2,
SJ_VALLEY.A,20110409,2359,0.00,,60,31,,,SW,6,,,59,55,,594,0.17,92.7,53.7,
SJ_VALLEY.A,20110410,2359,0.00,,63,36,,,W,4,,,60,56,,599,0.17,91.9,41.5,
SJ_VALLEY.A,20110411,2359,0.00,,68,39,,,W,3,,,62,57,,549,0.16,90.7,44.8,
SJ_VALLEY.A,20110412,2359,0.00,,60,39,,,W,6,,,62,59,,595,0.17,88.9,56.7,
SJ_VALLEY.A,20110413,2359,0.02,,59,39,,,W,5,,,61,58,,465,0.14,90.5,58.4,
SJ_VALLEY.A,20110414,2359,0.03,,67,35,,,NW,3,,,61,56,,569,0.16,91.2,23.7,
SJ_VALLEY.A,20110415,2359,0.04,,72,43,,,NW,3,,,63,58,,595,0.18,91.2,44.1,
